"","year","race_group","agg_weighted_surf_temp","agg_weighted_bot_temp","total_catch_year_kg"
"1",1990,"Arrowtooth flounder adult",11.8438845842658,5.304902927378,38883.26
"2",1993,"Arrowtooth flounder adult",11.1766669232763,5.68356501961463,159321.115
"3",1996,"Arrowtooth flounder adult",8.65875135216148,5.2679883812833,81821.773
"4",1999,"Arrowtooth flounder adult",6.94996090653022,4.79361892490995,54759.785
"5",2001,"Arrowtooth flounder adult",9.85427886675922,5.82278059850686,72640.203
"6",2003,"Arrowtooth flounder adult",10.4388090298811,5.94797555156577,159278.421
"7",2005,"Arrowtooth flounder adult",10.4440226671709,5.75045382375167,108237.063
"8",2007,"Arrowtooth flounder adult",9.12278128326296,4.76613310352754,116934.677
"9",2009,"Arrowtooth flounder adult",8.30914841917848,4.65406730821672,93145.24
"10",2011,"Arrowtooth flounder adult",8.86199074059905,5.23677934193235,73843.654
"11",2013,"Arrowtooth flounder adult",9.78752973642481,5.14522671885053,49222.881
"12",2015,"Arrowtooth flounder adult",11.0025175534526,6.199745817424,82612.665
"13",2017,"Arrowtooth flounder adult",9.0841254104649,5.31494640919094,35111.711
"14",2019,"Arrowtooth flounder adult",9.98349306490297,6.24921385597708,37068.335
"15",2021,"Arrowtooth flounder adult",8.7088563926896,5.39697921276188,42850.618
"16",2023,"Arrowtooth flounder adult",7.92195808750319,5.39992796695654,41790.543
"17",1993,"Atka mackerel",6.15467886694085,5.1335243364177,2351.969
"18",1996,"Atka mackerel",5.41455291200707,4.69917217677522,15035.094
"19",1999,"Atka mackerel",4.45962956468004,3.36801529841087,239.502
"20",2001,"Atka mackerel",5.20267351563863,4.6007394391292,11239.059
"21",2003,"Atka mackerel",6.73828630559753,5.94728913606807,5552.787
"22",2005,"Atka mackerel",6.55791962734785,5.06980010983337,5785.127
"23",2007,"Atka mackerel",5.09418809360243,3.44061166152429,6364.108
"24",2009,"Atka mackerel",5.54460289544053,3.24847965510711,9953.235
"25",2011,"Atka mackerel",5.75348271280133,4.23284984297094,5713.592
"26",2013,"Atka mackerel",6.3895471360059,4.67895497505473,5507.658
"27",2015,"Atka mackerel",8.36625597332965,5.8394647794942,2360.074
"28",2017,"Atka mackerel",10.3681589516574,6.4604215193075,1510.346
"29",2019,"Atka mackerel",8.35221405781688,5.80620709658706,41.372
"30",2021,"Atka mackerel",6.15006921743183,5.73374898058485,583.668
"31",2023,"Atka mackerel",5.83141390969188,4.43639227461274,3374.381
"32",1990,"Big skate",11.3853859484644,9.05565120221218,105.597
"33",1993,"Big skate",10.6761626522136,7.60156902260553,2460.194
"34",1996,"Big skate",7.47755148329728,6.14373285151827,1684.187
"35",1999,"Big skate",6.15740269459202,5.34210928540943,2394.574
"36",2001,"Big skate",9.14362856758619,7.52218505108801,1918.454
"37",2003,"Big skate",9.25805683637959,7.51910684105233,2525.284
"38",2005,"Big skate",9.20729267301434,7.56967662062971,2022.578
"39",2007,"Big skate",7.25906941988562,5.94647767168871,1757.119
"40",2009,"Big skate",7.29214291759555,5.84646495929674,2150.442
"41",2011,"Big skate",7.93560528592779,6.39181835638369,1728.968
"42",2013,"Big skate",7.20962217502515,5.90368627573464,1216.648
"43",2015,"Big skate",9.60875195408565,7.8351196573967,2553.624
"44",2017,"Big skate",8.74037653186036,7.01729839517121,1153.581
"45",2019,"Big skate",9.40108417986401,7.3096787256077,1289.085
"46",2021,"Big skate",8.38532762518234,6.68152658748058,758.214
"47",2023,"Big skate",7.00436038672863,6.05351711610066,1450.009
"48",1990,"Deep-water flatfish",12.5661912400237,5.40791457320386,2960.008
"49",1993,"Deep-water flatfish",11.9903966458947,5.3289372110876,4942.242
"50",1996,"Deep-water flatfish",9.51929959749637,5.17514226903983,2857.614
"51",1999,"Deep-water flatfish",8.66756100651923,4.88636026446456,2532.967
"52",2001,"Deep-water flatfish",10.5331727431148,5.39416759715507,1904.018
"53",2003,"Deep-water flatfish",10.6505202266097,5.21957277945379,3213.984
"54",2005,"Deep-water flatfish",11.5051807588033,5.30003360148573,3083.197
"55",2007,"Deep-water flatfish",10.2031482631396,4.68910368256178,3591.25
"56",2009,"Deep-water flatfish",9.57704554295724,4.71697948734815,3010.191
"57",2011,"Deep-water flatfish",10.7372559642254,5.13374842886373,2133.806
"58",2013,"Deep-water flatfish",11.1196095866296,4.92007160153191,1113.384
"59",2015,"Deep-water flatfish",12.1446166599426,5.33684548576613,1494.639
"60",2017,"Deep-water flatfish",11.437958794863,5.51263879772851,1032.978
"61",2019,"Deep-water flatfish",11.9521057153192,5.58255908241394,663.48
"62",2021,"Deep-water flatfish",10.2194381285702,5.41099739575698,750.314
"63",2023,"Deep-water flatfish",9.28989377028538,5.35133323432607,787.821
"64",1990,"Demersal shelf rockfish",13.9521144785062,5.57889011692164,34.382
"65",1993,"Demersal shelf rockfish",12.4946792137549,5.93762660686279,68.223
"66",1996,"Demersal shelf rockfish",9.77110788826534,5.50009458351725,31.718
"67",1999,"Demersal shelf rockfish",9.53241581014457,5.57630818083062,119.67
"68",2001,"Demersal shelf rockfish",12.123121376349,5.83596553452695,105.729
"69",2003,"Demersal shelf rockfish",11.5026559118631,5.32851268935668,101.66
"70",2005,"Demersal shelf rockfish",11.1973588456713,5.56307402760351,159.4
"71",2007,"Demersal shelf rockfish",7.52470700560926,4.45550304332259,83.79
"72",2009,"Demersal shelf rockfish",11.1284057714437,4.91776872916113,67.782
"73",2011,"Demersal shelf rockfish",10.765877701124,5.44388712999958,144.662
"74",2013,"Demersal shelf rockfish",9.12744495085388,5.06495524682884,36.422
"75",2015,"Demersal shelf rockfish",12.3560470836976,6.40695277399418,98.378
"76",2017,"Demersal shelf rockfish",9.8494824864043,5.47239732569245,102.606
"77",2019,"Demersal shelf rockfish",11.8448730170022,6.08817599772355,140.57
"78",2021,"Demersal shelf rockfish",9.7286802193819,5.42269870898023,295.193
"79",2023,"Demersal shelf rockfish",8.57481114615399,5.53758097108648,211.804
"80",1999,"Euphausiids",10.3294444444444,5.42944444444444,0.36
"81",2007,"Euphausiids",7.9,7,0.001
"82",1990,"Flathead sole adult",11.870059559505,5.17984346889822,2934.88
"83",1993,"Flathead sole adult",10.2704710045663,5.80584735610184,18086.003
"84",1996,"Flathead sole adult",8.07774466026822,4.99648341111415,11250.846
"85",1999,"Flathead sole adult",6.56814192280421,4.42718642893528,10167.161
"86",2001,"Flathead sole adult",8.00623162402517,5.60475291838308,8588.66
